SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000204,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5.75,,,7.25,8.5,5,8,,2022
02000205,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,7,4.5,3.25,6.6,,2022
02000206,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6,6.75,6.75,,,,8,6.75,2022
02000207,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,8,4.25,4,9,,2022
02000208,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6,,,6.75,6,2.5,9.2,,2022
02000209,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6,,,7.25,8.5,4.5,6.8,,2022
02000210,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,6.75,6.5,,,,9.4,7.5,2022
02000211,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,,,8,8.25,6,8.6,,2022
02000212,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7,7,6.75,,,,,7,2022
02000213,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,7.5,5,5.5,9,,2022
02000214,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,8.75,8.25,5,7,,2022
02000215,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,6.75,6,5.5,9,,2022
02000216,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7,7.5,6,7.2,,2022
02000217,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.25,,,5.75,3.25,3.5,7,,2022
02000218,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,7.25,6,3,8,,2022
02000219,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,,,4.75,6,4.25,8.8,,2022
02000220,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,8,7,,,,,7,2022
02000221,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,8,5.75,5.75,,,,5.6,8.25,2022
02000222,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7,3,6.25,,,,8,7,2022
02000223,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,7.5,6.75,4,6.4,,2022
02000224,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.75,,,6.5,5.75,4.5,9,,2022
02000225,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,7.25,7.5,,,,8.4,8,2022
02000226,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,8,6,6.5,8.6,,2022
02000227,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,6.75,6,,,,8.4,7.75,2022
02000228,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,9.75,8.5,,,,8.2,8.25,2022
02000229,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7,8.75,4.25,7.8,,2022
02000230,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,6.25,8.5,7.75,7.2,,2022
02000231,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,7.5,7,,,,8.6,8.5,2022
02000232,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,7.75,7.5,,,,8.4,9,2022
02000233,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.5,,,6,5.5,3,8.2,,2022
02000234,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,7.75,6.25,4.5,8.2,,2022
